# Pinout for LFCPNX-100 ,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
PADN,FNC,PADX,PADY,CBG256
1,NC_VCCIO7,-3836.9898,1895.5431,Unused
2,NC_VCCIO7,-3894.8436,1895.5431,Unused
3,VSSIO7,-3987.09,1849.3371,VSS
4,NC_VSSIO7,-3836.9898,1838.3931,Unused
5,NC_VSSIO7,-3894.8436,1838.3931,Unused
6,VCCIO7,-3987.09,1781.3871,VCCIO7
7,VSS,-3987.09,1713.4371,VSS
8,PL3A,-3784.1904,1709.6985,D15
9,PL3B,-3889.4436,1709.6985,D16
10,VCC,-3987.09,1645.4871,VCC
11,PL4A,-3784.1904,1620.8235,E12
12,PL4B,-3889.4436,1620.8235,E13
13,VSSIO7,-3987.09,1577.5371,VSS
14,VCCIO7,-3987.09,1509.5871,VCCIO7
15,PL6A,-3784.1904,1491.4485,E14
16,PL6B,-3889.4436,1491.4485,E15
17,VSS,-3987.09,1441.6371,VSS
18,PL8A,-3784.1904,1402.5735,F11
19,PL8B,-3889.4436,1402.5735,F12
20,VCC,-3987.09,1373.6871,Unused
21,NC_VSS,-3247.5321,1368.558,Unused
22,PL10A,-3784.1904,1313.6985,F13
23,PL10B,-3889.4436,1313.6985,F14
24,VSS,-3987.09,1305.7371,VSS
25,VSS,-3252.9321,1301.958,VSS
26,VSSIO7,-3987.09,1237.7871,VSS
27,PL11A,-3784.1904,1215.8226,E16
28,PL11B,-3889.4436,1215.8226,F16
29,VCC,-3252.9321,1186.758,VCC
30,VCCIO7,-3987.09,1169.8371,VCCIO7
31,NC_VCC,-3247.5321,1120.158,Unused
32,VSS,-3987.09,1101.8871,VSS
33,PL13A,-3784.1904,1086.4476,G9
34,PL13B,-3889.4436,1086.4476,G10
35,VCC,-3987.09,1033.9371,Unused
36,PL15A,-3784.1904,997.5708,G11
37,PL15B,-3889.4436,997.5708,G12
38,VSS,-3987.09,965.9871,VSS
39,NC_VCCAUXA,-3683.3904,963.0108,Unused
40,NC_VSS,-3247.5321,910.5597,Unused
41,NC_VCCAUXA,-3683.3904,906.3108,Unused
42,VCCAUXA,-3987.09,898.0371,VCCAUXA
43,VSS,-3252.9321,843.9597,VSS
44,VCCAUX,-3987.09,830.0871,VCCAUX
45,NC_VCCAUX,-3683.3904,818.5608,Unused
46,PL17A,-3784.1904,784.0458,G13
47,PL17B,-3889.4436,784.0458,G14
48,VSS,-3987.09,762.1371,VSS
49,NC_VCCAUX,-3683.3904,761.8608,Unused
50,VCC,-3252.9321,728.7597,VCC
51,PL19A,-3784.1904,695.1708,F15
52,PL19B,-3889.4436,695.1708,G15
53,VCCIO7,-3987.09,694.1871,VCCIO7
54,VSSIO7,-3987.09,626.2371,VSS
55,PL20A,-3784.1904,565.7958,Unused
56,PL20B,-3889.4436,565.7958,Unused
57,VSS,-3987.09,558.2871,VSS
58,VCC,-3987.09,490.3371,VCC
59,PL22A,-3784.1904,476.9208,Unused
60,PL22B,-3889.4436,476.9208,Unused
61,VSS,-3987.09,422.3871,VSS
62,PL24A,-3784.1904,388.0458,Unused
63,PL24B,-3889.4436,388.0458,Unused
64,VSS,-3252.9321,376.4709,VSS
65,VCC,-3987.09,354.4371,VCC
66,PL26A,-3784.1904,299.1708,Unused
67,PL26B,-3889.4436,299.1708,Unused
68,VSSIO7,-3987.09,286.4871,VSS
69,VCC,-3252.9321,261.2709,VCC
70,VCCIO7,-3987.09,218.5371,VCCIO7
71,NC_VCC,-3247.5321,194.6709,Unused
72,PL28A,-3784.1904,169.7958,H9
73,PL28B,-3889.4436,169.7958,H10
74,NC_PL28A,-3683.3904,164.3958,Unused
75,UC_VPWIO,-3643.7904,154.1178,Unused
76,VSS,-3987.09,150.5871,VSS
77,VCCAUX,-3987.09,82.6371,VCCAUX
78,PL29A,-3784.1904,80.9208,H11
79,PL29B,-3889.4436,80.9208,H12
80,NC_PL29A,-3683.3904,75.5208,Unused
81,NC_VSS,-3247.5321,29.4696,Unused
82,VSS,-3987.09,14.6871,VSS
83,UC_VNW,-3643.7904,4.6458,Unused
84,PL31A,-3784.1904,-7.9542,H13
85,PL31B,-3889.4436,-7.9542,H14
86,NC_PL31A,-3683.3904,-13.3542,Unused
87,UC_VPW,-3643.7904,-31.3542,Unused
88,VSS,-3252.9321,-37.1304,VSS
89,VCC,-3987.09,-53.2629,VCC
90,PL33A,-3784.1904,-96.8292,Unused
91,PL33B,-3889.4436,-96.8292,Unused
92,VSS,-3987.09,-121.2129,VSS
93,VCC,-3252.9321,-152.3304,VCC
94,VSSIO7,-3987.09,-189.1629,VSS
95,PL35A,-3784.1904,-226.2042,Unused
96,PL35B,-3889.4436,-226.2042,Unused
97,VCCIO7,-3987.09,-257.1129,VCCIO7
98,PL38A,-3784.1904,-315.0792,Unused
99,PL38B,-3889.4436,-315.0792,Unused
100,VSS,-3987.09,-325.0629,VSS
101,VCCAUX,-3987.09,-395.7129,VCCAUX
102,PL40A,-3784.1904,-444.5613,Unused
103,PL40B,-3889.4436,-444.5613,Unused
104,VSSIO6,-3987.09,-463.6629,VSS
105,UC_V2P5,-3643.7904,-527.9292,Unused
106,VCCIO6,-3987.09,-531.6129,VCCIO6
107,PL42A,-3784.1904,-533.4363,J13
108,PL42B,-3889.4436,-533.4363,J12
109,NC_PL42A,-3683.3904,-538.7292,Unused
110,VSS,-3987.09,-599.5629,VSS
111,NC_VSS,-3247.5321,-610.2531,Unused
112,PL44A,-3784.1904,-662.8113,J11
113,PL44B,-3889.4436,-662.8113,J10
114,VCCIO6,-3987.09,-667.5129,VCCIO6
115,NC_PL44A,-3683.3904,-668.1042,Unused
116,VSS,-3252.9321,-676.8531,VSS
117,VSSIO6,-3987.09,-735.4629,VSS
118,PL46A,-3784.1904,-751.6863,J9
119,PL46B,-3889.4436,-751.6863,J8
120,NC_PL46A,-3683.3904,-756.9792,Unused
121,VCC,-3252.9321,-792.0531,VCC
122,VSS,-3987.09,-803.4129,VSS
123,PL47A,-3784.1904,-840.5613,Unused
124,PL47B,-3889.4436,-840.5613,Unused
125,NC_VCC,-3247.5321,-858.6531,Unused
126,VCC,-3987.09,-871.3629,VCC
127,PL49A,-3784.1904,-929.4363,Unused
128,PL49B,-3889.4436,-929.4363,Unused
129,VSS,-3987.09,-939.3129,VSS
130,VCC,-3987.09,-1007.2629,VCC
131,PL51A,-3784.1904,-1058.8113,Unused
132,PL51B,-3889.4436,-1058.8113,Unused
133,VSSIO6,-3987.09,-1075.2129,Unused
134,VSS,-3252.9321,-1142.8425,VSS
135,VCCIO6,-3987.09,-1143.1629,Unused
136,PL53A,-3784.1904,-1147.6863,Unused
137,PL53B,-3889.4436,-1147.6863,Unused
138,VSS,-3987.09,-1211.1129,VSS
139,VCC,-3252.9321,-1258.0425,VCC
140,VCCAUX,-3987.09,-1279.0629,VCCAUX
141,PL55A,-3784.1904,-1293.2613,Unused
142,PL55B,-3889.4436,-1293.2613,Unused
143,NC_VSSIO6,-3683.3904,-1346.8995,Unused
144,VSS,-3987.09,-1347.0129,VSS
145,PL56A,-3784.1904,-1382.1363,Unused
146,PL56B,-3889.4436,-1382.1363,Unused
147,NC_VSSIO6,-3683.3904,-1403.5995,Unused
148,VCCIO6,-3987.09,-1414.9629,Unused
149,VSSIO6,-3987.09,-1482.9129,VSS
150,NC_VCCIO6,-3683.3904,-1489.9995,Unused
151,PL58A,-3784.1904,-1511.5113,Unused
152,PL58B,-3889.4436,-1511.5113,Unused
153,NC_VSS,-3247.5321,-1518.8004,Unused
