# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
8,PL3A,-,7,ULC_GPLL0_IN/EIO,True_OF_PL3B,-,-,G7,H20,D15,D15,G7,
9,PL3B,-,7,EIO,Comp_OF_PL3A,-,-,G6,H21,D16,D16,G6,
11,PL4A,-,7,ULC_GPLL0T_MFGOUT1/EIO,True_OF_PL4B,-,-,H8,H22,E12,E12,H8,
12,PL4B,-,7,ULC_GPLL0T_MFGOUT2/EIO,Comp_OF_PL4A,-,-,H7,H23,E13,E13,H7,
15,PL6A,-,7,EIO,True_OF_PL6B,-,-,G5,H26,E14,E14,G5,
16,PL6B,-,7,EIO,Comp_OF_PL6A,-,-,H6,J26,E15,E15,H6,
18,PL8A,-,7,EIO,True_OF_PL8B,-,-,H5,J25,F11,F11,H5,
19,PL8B,-,7,EIO,Comp_OF_PL8A,-,-,H4,J24,F12,F12,H4,
22,PL10A,-,7,EIO,True_OF_PL10B,-,-,H1,J23,F14,F13,H1,
23,PL10B,-,7,EIO,Comp_OF_PL10A,-,-,J1,J22,F15,F14,J1,
27,PL11A,-,7,EIO,True_OF_PL11B,-,-,J9,J21,E16,E16,J9,
28,PL11B,-,7,EIO,Comp_OF_PL11A,-,-,J8,J20,F16,F16,J8,
33,PL13A,-,7,EIO,True_OF_PL13B,-,-,J7,J19,G9,G9,J7,
34,PL13B,-,7,EIO,Comp_OF_PL13A,-,-,J6,K20,G10,G10,J6,
36,PL15A,-,7,EIO,True_OF_PL15B,-,-,J3,K18,G11,G11,J3,
37,PL15B,-,7,EIO,Comp_OF_PL15A,-,-,J2,K19,G12,G12,J2,
46,PL17A,-,7,EIO,True_OF_PL17B,-,-,K10,K21,G14,G13,K10,
47,PL17B,-,7,EIO,Comp_OF_PL17A,-,-,K9,L21,G15,G14,K9,
51,PL19A,-,7,EIO,True_OF_PL19B,-,-,L8,K24,G16,F15,L8,
52,PL19B,-,7,EIO,Comp_OF_PL19A,-,-,K8,K25,H16,G15,K8,
55,PL20A,-,7,EIO,True_OF_PL20B,-,-,K4,K26,-,-,K4,
56,PL20B,-,7,EIO,Comp_OF_PL20A,-,-,K3,L26,-,-,K3,
59,PL22A,-,7,EIO,True_OF_PL22B,-,-,K2,L25,-,-,K2,
60,PL22B,-,7,EIO,Comp_OF_PL22A,-,-,K1,L24,-,-,K1,
62,PL24A,-,7,EIO,True_OF_PL24B,-,-,L11,L23,-,-,L11,
63,PL24B,-,7,EIO,Comp_OF_PL24A,-,-,L10,L22,-,-,L10,
66,PL26A,-,7,EIO,True_OF_PL26B,-,-,L9,L20,-,-,L9,
