# Pin Out For CertusPro-NX 50K,,,,,,,,,,,
# Revision 0.8,,,,,,,,,,,
"# Revised May, 4, 2022",,,,,,,,,,,
# Initial released based on PKT Release 1,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,
"# Revised Feb, 10, 2023",,,,,,,,,,,
# Move to production release,,,,,,,,,,,
,,,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG484,BFG484,ASG256,CBG256
8,PL3A,-,7,-,ULC_GPLL0T_IN/EIO,True_OF_PL3B,-,G7,G7,D15,D15
9,PL3B,-,7,-,EIO,Comp_OF_PL3A,-,G6,G6,D16,D16
11,PL4A,-,7,-,ULC_GPLL0T_MFGOUT1/EIO,True_OF_PL4B,-,H8,H8,E12,E12
12,PL4B,-,7,-,ULC_GPLL0T_MFGOUT2/EIO,Comp_OF_PL4A,-,H7,H7,E13,E13
15,PL6A,-,7,-,EIO,True_OF_PL6B,-,G5,G5,E14,E14
16,PL6B,-,7,-,EIO,Comp_OF_PL6A,-,H6,H6,E15,E15
18,PL8A,-,7,-,EIO,True_OF_PL8B,-,H5,H5,F11,F11
19,PL8B,-,7,-,EIO,Comp_OF_PL8A,-,H4,H4,F12,F12
22,PL10A,-,7,-,EIO,True_OF_PL10B,-,H1,H1,F14,F13
23,PL10B,-,7,-,EIO,Comp_OF_PL10A,-,J1,J1,F15,F14
27,PL11A,-,7,-,EIO,True_OF_PL11B,-,J9,J9,E16,E16
28,PL11B,-,7,-,EIO,Comp_OF_PL11A,-,J8,J8,F16,F16
33,PL13A,-,7,-,EIO,True_OF_PL13B,-,J7,J7,G9,G9
34,PL13B,-,7,-,EIO,Comp_OF_PL13A,-,J6,J6,G10,G10
36,PL15A,-,7,-,EIO,True_OF_PL15B,-,J3,J3,G11,G11
37,PL15B,-,7,-,EIO,Comp_OF_PL15A,-,J2,J2,G12,G12
46,PL17A,-,7,-,EIO,True_OF_PL17B,-,K10,K10,G14,G13
47,PL17B,-,7,-,EIO,Comp_OF_PL17A,-,K9,K9,G15,G14
51,PL19A,-,7,-,EIO,True_OF_PL19B,-,L8,L8,G16,F15
52,PL19B,-,7,-,EIO,Comp_OF_PL19A,-,K8,K8,H16,G15
55,PL20A,-,7,-,EIO,True_OF_PL20B,-,K4,K4,-,-
56,PL20B,-,7,-,EIO,Comp_OF_PL20A,-,K3,K3,-,-
59,PL22A,-,7,-,EIO,True_OF_PL22B,-,K2,K2,-,-
60,PL22B,-,7,-,EIO,Comp_OF_PL22A,-,K1,K1,-,-
62,PL24A,-,7,-,EIO,True_OF_PL24B,-,L11,L11,-,-
63,PL24B,-,7,-,EIO,Comp_OF_PL24A,-,L10,L10,-,-
66,PL26A,-,7,-,EIO,True_OF_PL26B,-,L9,L9,-,-
67,PL26B,-,7,-,EIO,Comp_OF_PL26A,-,M8,M8,-,-
72,PL28A,-,7,-,PCLKT7_2/EIO,True_OF_PL28B,-,K6,K6,H9,H9
73,PL28B,-,7,-,EIO,Comp_OF_PL28A,-,L6,L6,H10,H10
78,PL29A,-,7,-,PCLKT7_1/EIO,True_OF_PL29B,-,L5,L5,H11,H11
79,PL29B,-,7,-,EIO,Comp_OF_PL29A,-,L4,L4,H12,H12
84,PL31A,-,7,-,PCLKT7_0/EIO,True_OF_PL31B,-,L3,L3,H14,H13
85,PL31B,-,7,-,EIO,Comp_OF_PL31A,-,L2,L2,H15,H14
90,PL33A,-,7,-,EIO,True_OF_PL33B,-,L1,L1,-,-
91,PL33B,-,7,-,EIO,Comp_OF_PL33A,-,M1,M1,-,-
95,PL35A,-,7,-,EIO,True_OF_PL35B,-,M2,M2,-,-
96,PL35B,-,7,-,EIO,Comp_OF_PL35A,-,M3,M3,-,-
98,PL38A,-,7,-,EIO,True_OF_PL38B,-,M4,M4,-,-
99,PL38B,-,7,-,EIO,Comp_OF_PL38A,-,M5,M5,-,-
102,PL40A,-,6,-,EIO,True_OF_PL40B,-,M6,M6,-,-
103,PL40B,-,6,-,EIO,Comp_OF_PL40A,-,M7,M7,-,-
107,PL42A,-,6,-,PCLKT6_0/EIO,True_OF_PL42B,-,M10,M10,J16,J13
108,PL42B,-,6,-,EIO,Comp_OF_PL42A,-,M11,M11,J15,J12
112,PL44A,-,6,-,PCLKT6_1/EIO,True_OF_PL44B,-,N1,N1,J11,J11
113,PL44B,-,6,-,EIO,Comp_OF_PL44A,-,N2,N2,J10,J10
118,PL46A,-,6,-,PCLKT6_2/EIO,True_OF_PL46B,-,N3,N3,J9,J9
119,PL46B,-,6,-,EIO,Comp_OF_PL46A,-,N4,N4,J8,J8
123,PL47A,-,6,-,EIO,True_OF_PL47B,-,N5,N5,-,-
124,PL47B,-,6,-,EIO,Comp_OF_PL47A,-,N6,N6,-,-
127,PL49A,-,6,-,EIO,True_OF_PL49B,-,N7,N7,-,-
128,PL49B,-,6,-,EIO,Comp_OF_PL49A,-,N8,N8,-,-
131,PL51A,-,6,-,EIO,True_OF_PL51B,-,M9,M9,-,-
132,PL51B,-,6,-,EIO,Comp_OF_PL51A,-,N9,N9,-,-
136,PL53A,-,6,-,EIO,True_OF_PL53B,-,P1,P1,-,-
137,PL53B,-,6,-,EIO,Comp_OF_PL53A,-,P2,P2,-,-
141,PL55A,-,6,-,EIO,True_OF_PL55B,-,P3,P3,-,-
142,PL55B,-,6,-,EIO,Comp_OF_PL55A,-,P4,P4,-,-
145,PL56A,-,6,-,EIO,True_OF_PL56B,-,P9,P9,-,-
146,PL56B,-,6,-,EIO,Comp_OF_PL56A,-,P8,P8,-,-
151,PL58A,-,6,-,EIO,True_OF_PL58B,-,N10,N10,-,-
152,PL58B,-,6,-,EIO,Comp_OF_PL58A,-,P10,P10,-,-
157,PL60A,-,6,-,EIO,True_OF_PL60B,-,R1,R1,-,-
158,PL60B,-,6,-,EIO,Comp_OF_PL60A,-,R2,R2,-,-
161,PL62A,-,6,-,EIO,True_OF_PL62B,-,R3,R3,-,-
162,PL62B,-,6,-,EIO,Comp_OF_PL62A,-,R4,R4,-,-
166,PL64A,-,6,-,EIO,True_OF_PL64B,-,R5,R5,-,-
167,PL64B,-,6,-,EIO,Comp_OF_PL64A,-,R6,R6,-,-
